,Average N of H (positive z),Average N of H (negative z),Average Density (positive z),Average Density (negative z)
1.78271213799185,0.6056666666666667,0.5656666666666667,0.04616292872515235,0.043114193751559456
1.90771213799185,0.766,0.6833333333333333,0.05838327474430384,0.052082555798878535
2.03271213799185,1.113,1.0063333333333333,0.08483105064022216,0.07670109071064111
2.15771213799185,1.3826666666666667,1.1436666666666666,0.10538460558719423,0.0871684141199767
2.28271213799185,1.4166666666666667,1.1976666666666667,0.10797603031474817,0.0912842063343271
2.40771213799185,1.346,1.1456666666666666,0.10258993186140075,0.08732085086865635
2.53271213799185,1.269,1.0963333333333334,0.09672111703723442,0.08356074440122513
2.65771213799185,1.3216666666666668,1.0813333333333333,0.10073528475246508,0.08241746878612777
2.78271213799185,1.4006666666666667,1.1713333333333333,0.10675653632531103,0.0892771224767118
2.90771213799185,1.528,1.2473333333333334,0.1164616759912484,0.09506971892653829
3.03271213799185,1.635,1.3553333333333333,0.12461704204560937,0.10330130335523909
3.15771213799185,1.7026666666666668,1.3963333333333334,0.12977448537593736,0.10642625670317181
3.28271213799185,1.6583333333333334,1.371,0.12639547078020522,0.1044953912198963
3.40771213799185,1.403,1.231,0.10693437919877062,0.09382481881232119
3.53271213799185,1.0726666666666667,0.9446666666666667,0.08175690954184933,0.07200095762635207
3.65771213799185,0.6946666666666667,0.63,0.052946364041396514,0.048017575834088014
3.78271213799185,0.4146666666666667,0.344,0.03160521922624629,0.02621912077289885
3.90771213799185,0.237,0.18633333333333332,0.01806375471853787,0.014202023751986875
4.03271213799185,0.15733333333333333,0.09833333333333333,0.011991690896132032,0.007494806810082522
4.15771213799185,0.10766666666666666,0.07766666666666666,0.008206178303920862,0.005919627073726194
4.28271213799185,0.09466666666666666,0.048666666666666664,0.007215339437503173,0.0037092942178713487
4.40771213799185,0.078,0.050666666666666665,0.005945033198506135,0.0038617309665509936
4.53271213799185,0.07166666666666667,0.04666666666666667,0.005462316827687262,0.0035568574691917047
4.65771213799185,0.057,0.03666666666666667,0.0043444473373698686,0.0027946737257934823
4.78271213799185,0.056666666666666664,0.033666666666666664,0.004319041212589927,0.0025660186027740154
4.90771213799185,0.05333333333333334,0.03233333333333333,0.00406497996479052,0.0024643941036542527
5.03271213799185,0.044,0.03,0.0033536084709521784,0.0022865512301946675
5.15771213799185,0.04766666666666667,0.027333333333333334,0.0036330758435315275,0.0020833022319551413
5.28271213799185,0.04033333333333333,0.028666666666666667,0.0030741410983728306,0.0021849267310749044
5.40771213799185,0.025666666666666667,0.022333333333333334,0.001956271608055438,0.0017022103602560303
5.53271213799185,0.037,0.018666666666666668,0.0028200798505734225,0.001422742987676682
5.65771213799185,0.034666666666666665,0.019666666666666666,0.002642236977113838,0.001498961362016504
5.78271213799185,0.025333333333333333,0.013,0.0019308654832754968,0.000990838866417689
5.90771213799185,0.020666666666666667,0.010666666666666666,0.0015751797363563263,0.000812995992958104
6.03271213799185,0.017666666666666667,0.008,0.0013465246133368596,0.0006097469947185781
6.15771213799185,0.010333333333333333,0.006333333333333333,0.0007875898681781631,0.0004827163708188742
6.28271213799185,0.006,0.006,0.0004573102460389335,0.0004573102460389335
6.40771213799185,0.004666666666666667,0.0016666666666666668,0.0003556857469191705,0.00012703062389970375
6.53271213799185,0.0033333333333333335,0.0023333333333333335,0.0002540612477994075,0.00017784287345958525
6.65771213799185,0.0023333333333333335,0.0003333333333333333,0.00017784287345958525,2.540612477994075e-05
6.78271213799185,0.003,0.0006666666666666666,0.00022865512301946674,5.08122495598815e-05
6.90771213799185,0.002,0.0006666666666666666,0.00015243674867964453,5.08122495598815e-05
7.03271213799185,0.0016666666666666668,0.0006666666666666666,0.00012703062389970375,5.08122495598815e-05
7.15771213799185,0.0013333333333333333,0.0006666666666666666,0.000101624499119763,5.08122495598815e-05
7.28271213799185,0.001,0.0003333333333333333,7.621837433982226e-05,2.540612477994075e-05
7.40771213799185,0.0006666666666666666,0.0,5.08122495598815e-05,0.0
7.53271213799185,0.0,0.0003333333333333333,0.0,2.540612477994075e-05
7.65771213799185,0.0003333333333333333,0.0,2.540612477994075e-05,0.0
7.78271213799185,0.0,0.0,0.0,0.0
7.90771213799185,0.0,0.0,0.0,0.0
8.032712137991851,0.0,0.0,0.0,0.0
8.157712137991851,0.0006666666666666666,0.0003333333333333333,5.08122495598815e-05,2.540612477994075e-05
